sep=|
algoritmo|api|cenario|tamanho|iteracao|tempo_s|corretude|threads_blocos
merge_sort|cpu|aleatorio|4096|3|0,000169|1|1x1
merge_sort|cpu|aleatorio|4096|4|0,000167|1|1x1
merge_sort|cpu|aleatorio|4096|5|0,000166|1|1x1
merge_sort|cpu|aleatorio|4096|6|0,000165|1|1x1
merge_sort|cpu|aleatorio|4096|7|0,000150|1|1x1
merge_sort|cpu|aleatorio|4096|8|0,000134|1|1x1
merge_sort|cpu|aleatorio|4096|9|0,000129|1|1x1
merge_sort|cpu|aleatorio|4096|10|0,000135|1|1x1
merge_sort|cpu|aleatorio|16384|1|0,000842|1|1x1
merge_sort|cpu|aleatorio|16384|2|0,000736|1|1x1
merge_sort|cpu|aleatorio|16384|3|0,000658|1|1x1
merge_sort|cpu|aleatorio|16384|4|0,000658|1|1x1
merge_sort|cpu|aleatorio|16384|5|0,000655|1|1x1
merge_sort|cpu|aleatorio|16384|6|0,000659|1|1x1
merge_sort|cpu|aleatorio|16384|7|0,000663|1|1x1
